""ID","Labels","Properties"
"1111","[""__Entity__"",""Producers""]","{""id"":""local producers""}"
"1112","[""__Entity__"",""Festival""]","{""id"":""Mushroom Days""}"
"1113","[""__Entity__"",""Festival""]","{""id"":""Istrian Malvasia Festival""}"
"1114","[""__Entity__"",""Vineyards""]","{""id"":""local vineyards""}"
"1115","[""__Entity__"",""Olive Oils""]","{""id"":""olive oils""}"
"1116","[""__Entity__"",""Soils""]","{""id"":""four soils""}"
"1117","[""__Entity__"",""Feast""]","{""id"":""St Roch Feast Day""}"
"1118","[""__Entity__"",""Grapes""]","{""id"":""Malvasia grapes""}"
"1119","[""__Entity__"",""Soils""]","{""id"":""four Istrian soils""}"
"1120","[""__Entity__"",""Festival""]","{""id"":""Choco & Wine Fest""}"
"1121","[""__Entity__"",""Festival""]","{""id"":""Colours of Tradition""}"
"1122","[""__Entity__"",""Wines""]","{""id"":""wines of Brtonigla""}"
"1123","[""__Entity__"",""Grape Variety""]","{""id"":""Istrian Malvasia""}"
"1124","[""__Entity__"",""Grape Variety""]","{""id"":""Teran""}"
"1125","[""__Entity__"",""Place""]","{""id"":""Alley of the Greats""}"
"1126","[""City""]","{""name"":""Buje"",""id"":23}"
"1127","[""Document""]","{""section"":""Buje"",""id"":""f36e6482dbc22fe02d0c82ed163f100d"",""text"":""Situated on a hill 222 meters above sea level, the town of Buje dominates the surrounding green terraced fields."",""embedding"":[-0.007684951,0.008091481,0.01832492,-0.020060143,-0.0057025957,-0.005793172,0.0054625766,0.03730796,0.053395085,-0.0051313047,0.030041302,-0.003083313,0.006316736,-7.833988E-4,4.1013194E-4,-0.026519822,-0.03749642,-0.01587547,0.003241208,-0.006722398,-0.029128224,0.02192265,-0.07605477,0.007858771,-0.010838725,-0.005188712,0.01794432,-0.004503538,0.019402618,0.07494739,0.001178764,0.01777032,-0.014235796,-0.04131035,0.003561529,0.012823106,-0.001657197,-0.04285438,0.03691799,-0.032666918,0.032287396,-0.042236052,0.015592925,0.00266918,-0.03492136,-0.01673324,-0.02434061,-0.06213382,-0.01361588,0.04293647,0.018958675,0.0062207277,0.049072903,-0.014332774,-0.02829918,0.025669247,-0.022872278,-0.014714184,0.019773353,0.023498237,-0.012528768,0.04121207,0.009877357,-0.0072953757,0.042453617,0.036309488,0.020816244,0.0032130512,-0.015750598,-0.028890295,-0.05145774,0.011487282,0.010828972,-0.04360461,-0.019757994,0.0028842017,-0.04302412,-0.014248969,0.0035712044,0.0132383825,0.017507924,0.018890316,-0.011844194,-0.020102303,-0.098642476,0.016006578,-0.0032698126,0.021501075,0.014080123,0.021871595,0.014731708,0.0392122,0.009368837,0.019707138,0.07134726,0.016990865,-0.035904564,0.03585212,-0.0237869,0.049718466,-0.017630912,0.05056079,0.0067061395,0.059484508,-0.030352117,0.010690785,-0.04711215,0.0055921357,0.02970359,-0.024473071,-0.008635809,0.015299635,0.014688333,-0.036589883,-0.016986432,0.036972463,-0.017850203,0.016777,0.0011382651,0.0141814705,0.0015068243,0.008448149,0.010801399,-0.025788978,-0.023257922,-0.001411835,-0.058201317,0.05905895,-0.008161831,-0.033389162,0.010023306,-0.07999566,-0.0076852227,0.040135257,-0.020504026,-0.038681846,0.014188717,-0.033050016,-0.02815704,-0.04289946,0.03523901,0.009795773,-0.017167944,0.092716165,0.013494235,0.017652284,-0.014148386,0.030534634,-0.070828654,0.037663165,-0.055515323,0.020068096,-0.006153201,0.044147648,0.015302408,1.1976636E-4,-0.03234999,-0.035506066,0.014732818,-0.011463833,-0.012471622,0.008204069,-0.012918617,0.014417508,-0.03134327,-0.005834911,-0.029356766,-9.671113E-4,-0.0054203323,-0.04230271,-0.011383867,0.066057585,-0.027977504,7.78984E-5,0.021989292,0.013868361,0.017140528,0.018040119,0.006162217,-0.012732489,0.0036723425,-0.0093594575,-8.587574E-4,0.034752656,-0.043166254,0.0012263326,-0.04914884,0.013886727,-0.018891316,-0.0037786483,-0.011268182,0.03583072,0.033856384,0.025145603,-0.016108504,0.03219834,-0.042825535,-0.017124321,-0.034598462,-0.035330515,-0.018789703,0.0053678295,-0.006280928,0.070061445,0.025006618,-0.050288953,0.0134457825,0.064990416,-0.024510343,0.023769591,0.058847215,-0.013538142,-0.008551117,-0.004090511,0.07821182,-0.010782898,-0.027288623,0.0065062465,-6.8299973E-4,0.027392121,-0.008872753,0.03754223,-0.009164369,0.051118817,-0.01843422,0.0115891425,-0.010124661,0.018029677,-0.017215833,0.0068077026,-0.006370185,-8.9409173E-4,0.012974312,0.027305773,0.0018210264,-0.009499981,-0.015318795,0.040516924,-7.3504547E-4,-0.034778927,-0.018670613,0.031786364,0.05789922,0.011523331,-0.021671785,0.049135856,0.022220464,0.026090618,-0.009302843,0.05229149,0.027508175,0.014181723,0.0127611635,0.052087907,-0.017648041,-0.03426455,0.020590618,0.03155797,-0.028521974,-0.030965317,0.01670533,0.027765485,0.03850892,0.04718609,0.049886115,-0.007573592,-0.011464652,0.022506619,-0.0064869905,-0.0617122,-0.018574921,-0.026586873,-0.02767873,-0.021782795,-0.09536681,-0.0039264597,0.0531898,-0.018866593,0.05092941,-0.03958279,0.0017775715,-0.009701601,-0.03332048,0.0106124645,0.03083499,0.040312476,0.0016917904,0.0049636564,0.0021071818,-0.0020455534,-0.021795433,0.007873794,-0.010241562,0.008208783,-0.032085177,-0.020356817,0.044077285,0.048191477,-0.0059075886,-0.043157868,-0.029739842,-0.036178138,-0.083433144,-0.05299332,0.037102506,0.007555323,0.017899226,-0.0022941926,0.0050706794,0.026640842,-0.02154024,0.0074418145,0.0064227884,0.017597845,-0.06357843,0.03169091,0.016360164,-0.023202077,0.002363226,-0.03582569,-0.027466083,-0.0076146573,0.0076616495,-0.019448204,0.011897733,0.053177595,0.042693935,-0.07049695,0.015961928,0.0066274307,-0.045391656,-0.057439163,-0.030349664,0.037843745,0.040250923,-6.306823E-4,0.010915749,-0.010667743,-0.04793459,-0.019490013,0.010098896,0.008195452,0.023748303,0.050272174,-0.00583669,0.026493028,0.0012106772,0.037472952,0.017121932,0.0066635907,-0.0329875,0.010145867,0.022635892,0.018457768,-0.037666194,-0.0054737637,-0.0043875617,0.032796193,-0.022549659,0.03394225,0.028875075,0.035953842,0.010067975,-0.0049575474,0.03266258,-0.07241539,0.01883091,0.010963142,0.007361419,-0.10307928,0.012435549,-9.888542E-4,-0.044377856,0.036605302,-0.01212233,-0.05916179,0.03653148,-0.026778301,0.020185586,0.016785491,0.04626955,-0.07855394,0.017343143,0.025312262,0.063533925,0.022241605,0.05051115,0.020760193,-0.018995678,-0.011388409,1.9898138E-5,-0.014683091,0.027862879,0.01412644,-0.0013083855,-0.061590925,0.054725166,-0.012187885,0.010918039,-0.037138373,-0.014311434,0.045987703,0.005955026,0.039406165,-0.04878734,0.06057546,-0.027705044,0.024291731,0.0019606967,-0.021245573,0.0026626447,-0.028214388,-0.010736063,0.0041851117,0.019634137,0.010164788,-0.0035911205,0.0059865597,-0.008421011,0.024031548,-0.00205205,-0.025317226,0.002847744,0.045631036,-0.0119833965,0.0039143437,-0.02888549,-0.048896924,0.04936004,0.025264723,-0.01073863,0.016809056,0.0251431,5.8540975E-4,0.0070176,-0.039471883,0.005728878,-0.0123432465,-0.0072008525,-0.026958264,0.01241875,0.036153026,-0.0013745384,-0.0037742017,-0.025247326,-0.048990317,0.015885519,0.026745586,-0.03998665,-0.027277358,-0.013931264,-0.06461834,-0.0092766,-0.0032254632,-0.030750712,-0.0056220284,5.183307E-4,-0.014848005,0.024447544,-0.054717366,0.037706964,-0.0028515365,-0.04233449,0.014207693,-0.01524984,0.034859728,-0.0061162077,-0.023408137,0.011124941,0.00543949,-0.036870632,0.0347385,-0.009873885,-0.028779663,0.02294533,-0.04817132,0.03232524,0.013093697,-0.06263365,0.0139030665,0.015255923,0.023608264,0.029508231,-0.016324453,0.006171229,-0.053910766,0.044671338,0.052830797,-0.034831367,0.036408957,0.012882938,-0.008763493,-0.007385542,-0.046408072,0.008769169,-0.013459513,0.016884053,0.023479372,-0.030968243,-0.011988412,0.06381005,0.012620118,-0.009138459,-0.04627364,2.696904E-4,-0.021297267,-0.027726278,0.0032799034,-0.043661214,0.05552523,-0.0013369955,-0.025211144,0.0035461618,-0.004366876,-7.3120464E-4,0.0026653116,0.019455157,0.028429348,-0.036666647,0.030726492,0.046893496,-0.026524138,-0.0022010368,0.024620287,0.021553192,0.04448678,-0.03190019,0.012195771,0.002385434,-0.07407931,-0.042733748,-0.026220705,-0.03547991,-0.02369898,-0.019219218,-0.037643593,0.007902958,0.0038695221,0.042190243,0.034522604,-0.035163905,-0.014742668,0.018427217,-0.0016635698,-0.03363821,4.029636E-4,-0.01481511,0.036758933,0.009218383,0.028028004,-0.0017981598,-0.021126568,2.7237651E-5,-0.002557612,-0.022996638,-0.031055016,-0.020024693,-0.024203733,0.016860137,0.005189491,-0.028533446,0.052845065,-0.038653817,-0.0106597785,0.0049651326,-0.032835364,0.042866357,0.032460816,0.017900882,0.019093841,-0.0030198554,-0.038154088,0.09074856,0.037538484,-0.010192523,-0.047715217,-0.08060492,-0.02342199,-0.063437514,0.041180197,0.0040202597,-0.051257852,-0.014673753,0.01780542,0.038239814,0.027532136,-0.010781813,0.05681542,4.0783006E-4,-0.015003802,-0.027897626,0.032300465,0.004569881,0.016709238,-0.03046871,-0.057023127,-0.034134116,0.037267625,-0.0066128178,-0.054661736,-0.04150863,0.005341015,0.035424452,-0.020765435,0.05294165,-0.022009373,-0.00916601,-0.072852895,0.0029252863,0.04472531,-0.07235635,0.034894582,-0.027310342,0.06554744,0.034821194,0.027612707,0.0062904246,-0.031417064,0.010484858,-0.019042885,-0.07366689,0.0060612145,0.023724377,-0.08345221,-0.011618338,-0.029228775,-0.018718565,-0.022252362,-0.052215658,0.014222488,-0.023727713,0.02172018,-0.02969911,-0.026819674,-0.0059868684,0.0061796764,-0.027145809,4.4154839E-4,-0.030754747,-0.060411103,0.053603172,-0.020430902,-0.012036849,-0.034298465,-0.011156775,-0.03596738,0.0024677222,0.06212477,0.0043072663,-0.006008305,0.022752129,0.03588576,0.05458167,-0.010696659,0.011027421,0.03369239,-0.018619472,-0.018325035,0.008144218,0.029898606,0.026337853,0.018617716,-0.05623669,-0.033881787,0.0031083634,0.015266964,-6.375235E-4,0.015929352,-0.044638168,0.010798003,0.009447804,-0.071479045,-0.024520619,-0.016273363,0.030866368,0.0055754464,-0.026191019,0.02368909,0.02704176,-0.016548779,0.06569103,0.013822739,0.005678746,-0.007970546,-0.06924135,-0.024398213,0.02499417,0.009957471,-0.03112623,0.01571786,-0.006036927,-0.0071448945,6.221615E-4,0.058167867,0.0057719084,0.029938314,-0.038257025,0.03450613,0.03108996,0.016154766,0.05650811,0.02705267,0.043156616,-0.0668681,-0.013045471,-0.031737983,0.012891787,0.015034496,0.03459996,-0.049176767,0.014963114,0.0026983377,0.029889096,-0.026732301,-0.02943295,-0.025666108,0.0063863215,-0.03165533,4.989644E-4,0.058919158,0.05428534,-0.018410848,-0.015445303,-0.005064209,-0.0031847858,0.0015804886,0.01590544,-0.011824028,4.8732202E-4,0.036279738,-0.021221304,0.012492162,0.011515048,-1.6013201E-4,0.023315832,-0.04912147,7.86113E-4,0.023142412,-0.009513184,-0.016193427,-0.0054006297,-0.02123928,-0.014487535,0.018234706,-0.052152913,-0.0026383137,0.03973797,-0.03766854,-0.040008336,0.023827745,-0.0022134606,-0.031472247,-0.0057740863,-0.026610924,0.015398843,-0.022744184,-0.021057073,0.009048901,-0.00653855,0.006239188,0.032764863,0.008844192,0.019430058,0.004631494,0.0021867529,-0.020298094,0.0021654733,-0.0068342392,-0.028843619,0.02266731,0.0021406347,8.1325445E-4,7.9087226E-4,-0.02019,0.01000111,-0.049646102,0.01646379,-0.014685492,0.034853548,0.0017212118,0.0054612807,-0.05546053,0.0052594594,-0.027330512,0.007998381,-0.015738823,0.01765749,0.018435134,0.017497817,0.021322425,0.008997046,0.02885407,-0.0045224894,-0.033874683,-0.017297158,0.016154014,0.021667149,0.026184192,0.017596029,0.022074623,-0.030058153,-0.0027716204,-0.00739603,0.045375086,0.009212694,0.027727585,0.0054612467,9.443888E-4,0.01357848,0.023306258,0.023267463,-0.005186136,-0.023984557,-0.03467219,0.005958369,-0.01947409,0.003589643,0.006636693,0.02567436,-0.018593723,-0.027533766,-0.013851543,0.028162813,0.0014788867,-0.026143001,0.03274364,0.004734675,-0.036679693,0.023439752,-0.010000883,0.016867006,0.0047251894,0.034986023,0.0028813425,-0.031745724,-0.0011505077,-0.0314804,-0.052643795,0.00197835,-0.002169336,0.025785938,0.026492676,0.004189337,-0.023629332,0.024799017,-0.055028047,-0.07806959,0.0035734384,0.0011938871,-0.065424524,-0.017274462,0.01496457,0.021504017,0.03902381,0.014083745,0.05764499,0.021458955,0.024020677,0.017087687,-0.011968499,-0.0394053,-0.043636423,0.0070208604,-0.021333575,-0.008324329,-0.061968636,0.0043776673,-0.006832889,-0.01860641,-0.0016965471,0.046822768,0.0057635945,-0.018800875,0.053550832,-0.009058506,-0.011808381,0.0047027436,-5.867239E-4,0.03611515,-0.015297154,-0.022493364,-0.020037705,-0.007169728,-0.021378769,-0.10107482,0.02816973,0.015760124,-0.056916438,0.010256616,-0.019840725,0.01196719,0.026137244,-0.015794348,-0.010484493,0.011992378,0.0117890425,-0.032766644,0.030191787,-0.05566528,0.009119275,0.020175783,0.04891325,0.023809427,0.041372195,0.0013288491,-0.011142742,0.0092899995,-0.038708687,0.011609759,0.02121527,-0.04003722,-0.015583158,-0.0054934495,-0.056316443,-0.055180024,0.042674314,0.019272557,-0.009395907,0.027344113,-0.026223624,0.018141847,-0.012427519,0.011625777,-0.019700358,8.098676E-4,0.029844396,-0.043925017,0.04364967,-0.041810103,0.2366879,0.041595746,-0.04680594,-0.0064206235,-0.02256161,0.05180171,0.07101771,-0.002674673,0.030873954,0.011149859,0.030024152,-0.011294685,-0.0012821258,0.03133003,0.008710041,0.040294435,-0.017804109,0.021269629,-0.01015197,-0.012176995,-0.043306693,0.03246472,0.012008694,0.019484797,0.025684211,-3.5898815E-4,-0.028908398,-0.009288157,-0.054127626,-0.009948218,0.0023669987,-0.051487073,0.009060158,-0.018052744,-0.04088188,0.006745044,0.025774479,-0.013797445,0.0058315624,-0.015032942,-0.019652592,7.2915445E-4,0.0055012084,-0.030099157,0.0024491153,0.09304209,-0.013371504,0.030569594,0.0486736,-0.008749872,0.033420347,-0.034212574,0.025439093,-0.033328965,-0.023236986,0.014796705,0.0015156167,0.009670768,0.007042407,0.0064724274,0.07506903,-0.032790624,-0.01940734,0.032560304,-0.052856594,0.03551405,0.058334805,0.0060207187,-0.03533189,-0.043849744,-0.016938565,-0.018363247,-0.022856647,-0.039486393,0.033841725,0.029363308,-0.044740263,0.021523343,-0.0010264317,0.010824803,0.03107234,-0.011263766,0.0030239539,0.017175877,0.014656759,0.04109775,-0.024362072,0.0035106577,-0.02813238,0.056259837,0.023364257,0.03871216,0.008030705,-0.043784343,-0.020768214],""city"":""Buje""}"
"1128","[""__Entity__"",""Geographical Feature""]","{""id"":""hill""}"
"1129","[""__Entity__"",""Landform""]","{""id"":""surrounding green terraced fields""}"
