input,output
"Brač | see | Pustinja Blaca | 1551, 2007","A former monastery originating from 1551, now a museum run by two brothers. In the 2007 the hermitage was included in the UNESCO World Heritage Tentative List."
"Zagreb | see | Square of Maršal Tito | Zagreb, North Western, Lenuci Horseshoe, the Croatian National Theatre",One of the largest and greenest squares of Zagreb. It is located on the North Western corner of Lenuci Horseshoe. It has the Croatian National Theatre in its centre.
"Zagreb | see | Muzej Mimara (Mimara Museum) | Ante Topić Mimara, the 20th century, Lorenzetti, Raffaello, Giorgione, Veronese, Caravaggio, Canaletto, Dutch, Rembrandt, Van Goyen, Ruisdael, Flemish, Van der Weyden, Bosch, Rubens, Van Dyck, Spanish, Velasquez, Murillo, Goya, German, Holbein, Liebermann, Leibl, English, Turner, Bonington, French, Georges de la Tour, Boucher, Chardin, Delacroix, Corot, Manet, Renoir, Degas","Houses some 3,700 works of art donated by Ante Topić Mimara. The collection comprises more than 1,500 exhibits dating from the prehistoric period up to the 20th century. Some of the most famous exhibits include works by Lorenzetti, Raffaello, Giorgione, Veronese, Caravaggio, Canaletto, 60 paintings by the Dutch masters Rembrandt, Van Goyen, Ruisdael, 50 works by the Flemish masters Van der Weyden, Bosch, Rubens, Van Dyck, more than 30 by the Spanish masters Velasquez, Murillo, Goya, some 20 paintings by the German masters Holbein, Liebermann, Leibl, some 30 paintings by the English painters Gainsborough, Turner, Bonington and more than 120 paintings by the French masters Georges de la Tour, Boucher, Chardin, Delacroix, Corot, Manet, Renoir, Degas."
"Zagreb | see | Archaeological Museum | Croatian, Egyptian, Zagreb, Etruscan, Liber Linteus Zagrabiensis, Roman","Possesses over 400,000 objects, not all of them being exhibited. The holdings include evidence of Croatian presence in this area as well as rare samples which have made the museum known to the whole world. The most famous are the Egyptian collection, the Zagreb mummy and bandages with the oldest Etruscan inscription in the world (Liber Linteus Zagrabiensis), as well as the numismatic collection. A part of the museum is set aside for the collection of stone monuments dating back predominantly to the Roman period."
"Zagreb | see | Art Pavilion in Zagreb | Hungarian, Korb, the Millennium Exhibition 1896, Budepest, Zagreb, Viennese, Central Europe Hellmer, Fellmer, Trg, Meštrović, Zagreb, Rodin, Rodin, Paris, Rodin","Designed by the Hungarian architects Korb and Giergl for the Millennium Exhibition 1896 in Budepest, its iron frame was transported to Zagreb after the exhibition, where the permanent pavillion was built by the famous Viennese designers of theatres in Central Europe Hellmer and Fellmer. It is a neo-classical exhibition complex and one of the landmarks of the city center. The exhibitions are also held in the impressive Meštrović pavilion on Trg žrtava fašizma. Current exhibition: Auguste Rodin - Rodin in Meštrović's Zagreb (until 20-Sep-2015), showing 55 large and small sculptures, 2 paintings and 10 scetches by Rodin and 10 early photographs of Rodin's work by then-famous photographers. Photography is not permitted by order of the Rodin museum in Paris despite the fact that Rodin's work is now in the public domain."
"Zagreb | see | Croatian National Theatre | Croatian National Theatre, Zagreb, 1895, Croatian National Theatres, Split, Rijeka, Varaždin, Zadar","Croatian National Theatre, Zagreb is located at the centre of Marshal Tito Square. It is built in 1895. There are also Croatian National Theatres in Split, Rijeka, Osijek, Varaždin and Zadar."
Zagreb | see | Moderna Galerija (Modern Gallery) | the 19th and 20th centuries,Comprises all relevant fine artists of the 19th and 20th centuries.
"Zagreb | see | People and Art House Lauba (Kuća za ljude i umjetnost Lauba) | the Filip Trade Collection, Croatian","Presents works from the Filip Trade Collection, a large private collection of modern and contemporary Croatian art and current artistic production."
Zagreb | see | Technical Museum | Nikola Tesla,"Has a lot of technical inventions, fire engines, a cabinet of Nikola Tesla, a planetarium and an underground mine."
"Zagreb | see | The Grounded Sun | Prizemljeno, Ivan Kožarić, 1971, Sun, Sun, Mercury, Margaretska, Cvjetni, Earth, Varšavska","Prizemljeno sunce by Ivan Kožarić is a 1971 sculpture, a 2 meter wide bronze sphere, which represents the scale model of the Sun, with 9 planets of the solar system in their scaled size compared to this Sun. Mercury is in Margaretska street, a couple of hundred meters to the west, turn right after reaching Cvjetni trg, you should see it on the wall to the right after passing a dozen or so meters. Venus is on the pole of the building with Hypo bank on the Ban Jelačić Square. Earth is in Varšavska street to the left. For other models, click the link of the sculpture above."
"Zagreb | see | Maksimir Park & Zagreb Zoo | Zagreb, 85-year old","The biggest park in Zagreb. Great place to chill out, drink coffee, eat lunch (picnic or at the park's restaurant) or take nice long walks through the forest or by the small lakes. Good for joggers, cyclists, also child and dog friendly. Offers lake rowing. The 85-year old zoo has red pandas."
"Zagreb | see | Mirogoj Cemetery | Mirogoj, Zagreb, 1876, H. Bollé, 1883-1914, Drazen Petrovic, Croatian, Cathedral, Kaptol - Mirogoj - Krematorij, approximately 10 minutes, the Croatian Day, Dead, November 1st, that day, days, those days","Mirogoj is the central cemetery of Zagreb. It was opened in 1876 north of the city center. The mortuary, the impressive and picturesque arcades with the church of Christ the King (architect H. Bollé, 1883-1914) make it one of the most impressive cemeteries in the world. Here stand the tombs of notable personalities (including that of basketball hero Drazen Petrovic) who are relevant to Croatian history. To arrive from the central square, go to the nearby Cathedral and take bus number 106 (Kaptol - Mirogoj - Krematorij). The ride takes approximately 10 minutes. Note: the Croatian Day of the Dead is on November 1st. You may find the sight of hundreds of thousands of candles after nightfall impressive and worth seeing, but you may take note that on that day and a few preceding and following days the cemetery will be very busy and quite different from usual peaceful appearance; on those days buses to the cemetery are very frequent but crowded."
"Zagreb | see | Medvednica and Medvedgrad | Zagreb, Medvednica, Medvedgrad, Homeland, Croatian, the year, Jun 2015","The imposing mountain overlooking Zagreb (Medvednica) contains a preserved fortress (Medvedgrad) and fascinating views of the city. Being respectful in the fort is a good idea, since it is the site of the Altar of the Homeland memorial, dedicated to Croatian soldiers who died in the Homeland war. There are several historical festivals during the year, including knights tournaments. (updated Jun 2015)"
Zagreb | see | Jarun | Jarun Lake,"Jarun Lake is a recreational area based around a large lake where locals go to relax, exercise - and party! The centerpiece of the area is the actual lake itself, which is used for windsurfing and has a large rowing section with spectator stands. There are also shingle beaches surrounding the water, alongside which are several bars that get very busy during the weekends but are also nice for a sunny lunchtime snack. All the bars there are considered 'fancy' places and usually play commercial music."
Zagreb | see | Bundek | the summer,"hosts horticultural shows, firework festivals, workshops, concerts and music festivals (mostly during the summer)."
Zagreb | see | Museum of Contemporary Art | ,Follows and presents contemporary trends in fine arts.
Zagreb | see | Croatian Museum of Naïve Art | Croatian,Houses more than one thousand works belonging to Croatian naïve art.
"Zagreb | do | Strossmayerovo šetalište | Strossmayer, the summer, the Lower Town","(eng. Strossmayer's walkway) In the summer, it is an outdoor scene for painters, musicians and other artists offering food, drinks, performances and concerts. Popular meeting place for all ages, with a great view of the Lower Town."
"Zagreb | do | Snow Queen Trophy | Zagreb, World Cup, Snježna, January, Croatia, 2007, Mount Sljeme","Ladies Night Slalom : Zagreb is the only capital in the world that hosts a Ski World Cup race. The slalom event - known as the ""Snow Queen Trophy"" (Snježna kraljica) - usually takes place in January. It is the most expensive race on the women's world cup tour and an exceptionally popular sporting event in Croatia that attracts a crowd of around 25 thousand people. As of 2007 best skiers in men's competition are also expected to compete on Mount Sljeme that overlooks the city. If you fail to secure your ticket, you can watch the whole event on a giant screen in the Ban Jelačić Square."
"Zagreb | do | CineStar Zagreb | the Sheraton Hotel, Croatian, Croatian","A multiplex cinema (13 screens) in the vicinity of the Sheraton Hotel. The website is in Croatian, but can be understood using a Croatian-English online dictionary."
Zagreb | do | CineStar Novi Zagreb | the Museum of Contemporary Art,A multiplex cinema (9 screens) in the vicinity of the Museum of Contemporary Art.
"Zagreb | do | Cineplexx Centar Kaptol | the Kaptol Shopping Center, Cathedral",A multiplex cinema (5 screens) within the Kaptol Shopping Center situated to the north of the Cathedral.
Zagreb | do | Cineplexx City Center one East | Zagreb,A multiplex cinema (7 screens) located on the east side of Zagreb.
"Zagreb | do | Kino Tuškanac | European, HRK","Showing much more than just European filmography, alternative and older films, sometimes for free, usually costs about 10 HRK (€1.50)"
Zagreb | buy | Turistički Informativni Centar | ,Sells everything ranging from postcards and books to pottery and crystal
Zagreb | buy | GEA Gallery | Croatia,a wide range of souvenirs that are handmade in Croatia and are very reasonably priced. Very knowledgeable staff.
Zagreb | buy | Millennium | ,"Pottery, crystal, costume jewelery, and other gifts."
Zagreb | buy | Algoritam | ,
Zagreb | buy | Profil Megastore | ,
Zagreb | eat | American Doughnut | ,A sandwich bar that also serves salads and deserts.
Zagreb | eat | Baschiera 2 | ,Pizza.
Zagreb | eat | Bonita | the winter,Popular sandwich bar that also serves pancakes and hot wine in the winter.
Zagreb | eat | Colonia | ,Pizza.
Zagreb | eat | Dvojka | ,Pizza.
Zagreb | eat | Gigi | ,Be sure to visit this pizzeria if you're going to the Jarun lake.
Zagreb | eat | Karijola | ,Pizza.
"Zagreb | eat | Koykan World Food | Italian, Japanese, Taiwan, Japanese","Italian piadinas, Japanese teriyaki sticks, oriental wraps, Bubble tea from Taiwan and Japanese mochi cakes."
Zagreb | eat | Mamma Mia | ,Pizza.
Zagreb | eat | MOCA | ,"Newly open at the main square serves great and cheap fried, deep fried and baked potatoes with a large variety of dips for takeout."
Zagreb | eat | Nocturno | ,Pizza.
Zagreb | eat | Nova | Vegetarian,Vegetarian.
Zagreb | eat | Oliva | Italian,"Italian restaurant (pizza, pasta)"
Zagreb | eat | Pizza Cut Duck | veggie and/or meat filling,A pizza-slice bar that also serves fresh tortillas with veggie and/or meat filling.
Zagreb | eat | Pyr | Vegetarian,Vegetarian.
Zagreb | eat | Robin Food Catering | Vegetarian,Vegetarian.
Zagreb | eat | Sandwich Bar Pingvin | toplo/hladno,"Classic sandwich bar with a wide menu and reasonably good mix of languages. One of the most popular dishes is the toplo/hladno (hot/cold), a grilled chicken and vegetables sandwich."
Zagreb | eat | Šestica | ,Pizza.
Zagreb | eat | Stara Sava | Zagreb,Arguably the best pizzeria in Zagreb.
Zagreb | eat | VegeHop | Vegetarian,Vegetarian.
"Zagreb | eat | Žirafa | Cheap Mexican, summer",Cheap Mexican food and drinks. Nice summer terrace.
"Zagreb | eat | Royal India | Aug. 2013, Royal India, Indian Dishes",Opened in Aug. 2013 Royal India serves authentic Indian Dishes.
Zagreb | eat | Asia | Chinese,Chinese restaurant
Zagreb | eat | Caramba | Mexican,Mexican food.
Zagreb | eat | Ivica i Marica | ,"Wonderful food made only from natural ingredients, many sourced locally."
"Zagreb | eat | Mali Medo | Croatian, gulaš","Another traditional Croatian restaurant. Lively atmosphere, youthful clientele, and all very affordable. Excellent ćevapčići and gulaš, not to mention superb beer."
"Zagreb | eat | Manzoku | Japanese, Zagreb",An excellent and so far only Japanese take-out in Zagreb. Tasty but rather expensive.
"Zagreb | eat | Mex Cantina | Mexican, Mondays, Croatian, Los Caballeros","Mexican food. Good service, great food, on Mondays they offer live music by the best Croatian mariachi band, Los Caballeros starting at 9PM."
Zagreb | eat | Pivnica Medvedgrad | ,Great food and beer for reasonable prices. Make sure to try 'čvarkuša' (4 HRK).
"Zagreb | eat | Restaurant Kvatric | Croatian, Kvaternikov Trg'",Croatian restaurant with very nice food for a reasonable price. Has a nice terrance in the back garden. Close to tramstop 'Kvaternikov Trg'.
Zagreb | eat | Boban | Italian,Italian food.
Zagreb | eat | Feniks | Mexican,Mexican food.
"Zagreb | eat | Le Bistro | French, the Regent Esplanade Hotel",A French restaurant within the Regent Esplanade Hotel..
"Zagreb | eat | Panino | French, Istrian",Nice little restaurant with great service and wonderful food. If you are into French and Istrian style food you will probably love this place.
Zagreb | eat | Restaurant Suhina | Samobor,An old family-run restaurant on the old Samobor road that offers a variety of roasted food.
Zagreb | eat | Srčeko | ,A very romantic little restaurant.
Zagreb | eat | Takenoko | Zagreb,"Zagreb may not be synonymous with sushi restaurants, but this is one is superb. It is not cheap, but sushi they make is incredible."
Zagreb | eat | Velika Klet Obitelji Bunčić | Croatian,"A very popular place that offers Croatian cuisine, live music on weekends, a stable, fish pond and basketball courtyard."
Zagreb | eat | 100% juice bar | Pricey,Pricey but a good place to get a healthy snack or fruit smoothie.
Zagreb | eat | Ivica and Marica | ,"Offers traditional and diet, diabetic and organic cakes, ice creams and such."
Zagreb | eat | SladoMazo | ,A pancake restaurant with a wide range of crazy both sweet and satly filling ideas.
Zagreb | eat | The Cookie Factory | ,"Homebaked American Sweets. Cookies, brownies and bars, krispy treats, muffins, cupcakes, banana breads, scones, cobblers, biscotti, top notch coffee, smoothies, cakes and pies."
Zagreb | eat | Torte i To | ,"A great little caffe offering the best cheese cake in town, and other great cakes"
Zagreb | eat | Vincek | ,"The local, best known ice cream and cake palace in town center. Offers diet foods."
Zagreb | eat | Konoba Didov San | Zagreb,"The best atmosphere restaurant in Zagreb with excellent food, unique menu, large portions and great location!!"
"Zagreb | eat | Nishta Restaurant | Vegetarian, Dubrovnik","100 % Vegetarian food, also has a branch in Dubrovnik"
Zagreb | drink | Booksa | ,A cafe/bookshop/library famous with local young intelectuals.
Zagreb | drink | Harlekin | Cozy,"Cozy atmosphere, excellent English, free Wi-Fi, delicious drinks, very reasonable prices, great coffee, DJ or live music on weekends."
Zagreb | drink | Cica | ,"Bar mostly known for its great and varied choice of the local schnappses (rakija). Interesting always changing, gallery-like interior. The whole bar is small but offers outdoor seating. Very popular and crowded, brimming with young business and student clientele."
"Zagreb | drink | Funk club | Rakija, electro","Cafe / bar that offers various music night programmes in the basement (mostly alternative, dj-s, world music) and spacial backpacker evenings. Very good atmosphere, lots of character, cheap and tasty Rakija shoots and excellent electronic music: funky, electro, jazz, d'n'b, house, dubstep."
Zagreb | drink | Golf | ,Popular golf-themed cafe/bar.
Zagreb | drink | KIC | ,Offers free internet and cheap international call center. Hosts a cinema with various alternative movies.
Zagreb | drink | Kino Grič | Zagreb,"Newly re-decorated old cinema. Hosts movies, festivals, music nights and Zagreb's hipster crowd."
Zagreb | drink | Krivi Put (Wrong Way) | ,
Zagreb | drink | Mali Medo | ,Offers a good choice of local beer and food. Indoors smoking prohibited. Has a terrace facing Tkalčićeva street.
Zagreb | drink | Melin | ,"A cheap bar brimming with young people and students. Offers indoors, a roofed terraced leveled seating and an open terrace facing Tkalčićeva street. Known for crowds of people often drinking even around the bar, in the park and playground in front of it."
"Zagreb | drink | Oliver Twist | Irish, summer",A choice of good Irish beer with a great atmosphere. Big summer terrace in front.
Zagreb | drink | Pivnica Medvedgrad | ,
Zagreb | drink | Bar Plan B | ,"A cafe/wine bar/sports bar. Attracts a mix of locals and tourists. You can expect music from every genre, and decade, from Jazz to Alternative/Indie."
"Zagreb | drink | Portal | Melin, Portal, Melin","Next to Melin, offers same service, the Portal and Melin crowds often mix at the outdoors terraces."
"Zagreb | drink | Purgeraj | Ribnjak, Daily, Thursdays, evening, the summer, Purgeraj, Ribnjak, summer, Zagreb","A bar/club located in the Ribnjak park in the city center. Offers mostly rock, blues and alternative music. Daily happy hour when you get two drinks for the price of one. Sometimes hosts concerts. Popular with student crowd esp on Thursdays when it hosts the newly popular ""take me out"" evening offering a mix of indie and alternative music. In the summer, outside Purgeraj, in the Ribnjak park there are live concerts and various workshops offering summer fun under the name 'Park In Zagreb'."
Zagreb | drink | Tolkien's House | Tolkien,"A small fantasy cafe/bar for Tolkien lovers. Offers a variety of beers, cider and hot drinks."
"Zagreb | drink | Aquarius | Saturday night, Friday","Saturday night is drum'n'bass & dancehall music, Friday is hip-hop/r'n'b night. Good concerts."
Zagreb | drink | BP Club | ,Jazz and blues lovers should check it out.
"Zagreb | drink | Funk club | Rakija, electro","Very good atmosphere, lots of character, cheap and tasty Rakija shoots and excellent electronic music: funky, electro, jazz, d'n'b, house, dubstep!"
"Zagreb | drink | Jabuka | Fridays, Kn","Cult club for alternative, punk music. Cheap drinks opened on weekends, often concerts of alternative bands. Mostly visited on weekends, especially Fridays. Admission fee: 25 Kn."
"Zagreb | drink | KSET | every night of, the week",A popular student club. Offers various indie and alternative programmes every night of the week. Indoors smoking prohibited. Serves only beer and non alcoholic drinks.
"Zagreb | drink | Medika | the early morning, Croatian, HRK","A local alternative club/legalized squat usually loaded with people during weekends, playing various music genres until the early morning. Best Croatian beers for 10 HRK."
Zagreb | drink | Močvara | ,"A local alternative club (rock, punk, metal, indie)with various concerts and theme nights/programmes. Sometimes hosts festivals, young indie talent concerts, movie nights, exhibitions etc."
Zagreb | drink | SAX! - Klub hrvatskih glazbenika | ,"A great place to enjoy live music of a wide array of styles including blues, jazz, rock and pop."
Zagreb | drink | Sirup | ,"Interesting interior and atmosphere. Good electronic music. A bit expensive entrance fees, but worth seeing."
Zagreb | drink | The Best | Zagreb,Largest club in Zagreb. Mainly dance style music.
Zagreb | drink | The Jazz Club | ,"Jazz, blues, and funk bands, often from other countries."
"Zagreb | sleep | All 4 seasons Hostel | just 10 minutes, Zagreb, Josip Jelačić","All 4 seasons is lovely, unusual and pretty much artistic apartment-hostel located just 10 minutes walking distance from the strict center of Zagreb and the Ban Josip Jelačić main city square."
Zagreb | sleep | Buzz Hostel | Split,"Furnished with modern, ikea furniture. Also a location in Split."
Zagreb | sleep | Chillout Hostel Zagreb | ,"A brand new hostel in the city centre, free linen, free towels, free wifi, 0-24h bar and reception"
Zagreb | sleep | Dizzy Daisy Hostel Zagreb | ,
Zagreb | sleep | Fulir Hostel Zagreb | ,"2 rooms, including a 12-bed dorm. Great place to meet people, but can be a wait to use the bathroom."
Zagreb | sleep | Funk Lounge | ,
Zagreb | sleep | Hobo Bear Hostel | ,"A cozy hostel very near the town center. There is a basement hang out lounge with a TV, including cable and many DVDs, as well as free (fast) internet and computers. The staff is amazingly helpful and speak perfect English, the beds are comfortable and come with free linens and blankets, and there is also a well stocked kitchen facility."
Zagreb | sleep | Hostel Carpe Diem | ,
Zagreb | sleep | Hostel Lika | ,Small and cozy hostel a bit out of the city center.
Zagreb | sleep | Hostel Mali Mrak Zagreb | ,
Zagreb | sleep | Nokturno Hostel | ,"Free internet access, free linens and towels."
Zagreb | sleep | Logistics Youth Centre | ,"Logistic youth center, also works as a regional information center. From the host, you can get complete information about everything that interests you. The space has 10 rooms, lobby with fireplace, dining room, kitchen and a cinema hall, where you can stream movies from your laptop. The most interesting part is the terrace with space for tents and 30 seats. Located further from downtown, but the center has its own bus which runs as needed. Parking for approximately 30 vehicles."
Zagreb | sleep | Old Town Zagreb Hostel | ,
Zagreb | sleep | Palmers Lodge Zagreb | ,
Zagreb | sleep | Ravnice Youth Hostel | ,
"Zagreb | sleep | Hotel Jägerhorn | 1827, Hotel Jägerhorn","3-star hotel Founded in 1827, Hotel Jägerhorn is the city's oldest standing hotel."
Zagreb | sleep | Arcotel Allegra | Zagreb,"4-star hotel which is Zagreb's first ""lifestyle"" hotel. All rooms are spacious and air-conditioned and feature mini bar, safe, internet connection, bigscreen TV and DVD player. A very cool touch are the free apples supplied in your room in a very funky holder!"
Zagreb | sleep | Best Western Premier Hotel Astoria | ,3-star hotel
Zagreb | sleep | Panorama Hotel Zagreb | ,4-star hotel.
Zagreb | sleep | Hotel Aristos | ,4-star hotel.
Zagreb | sleep | Hotel As | ,4-star hotel.
Zagreb | sleep | Hotel Central | 1996,3-star hotel refurbished in 1996.
Zagreb | sleep | Hotel Dora | ,3 star hotel.
Zagreb | sleep | Hotel Dubrovnik | ,"4-star hotel. Clean, centrally located, good service. Some rooms are small."
Zagreb | sleep | Hotel Holiday | ,3-star hotel.
Zagreb | sleep | Hotel I | ,3-star hotel.
Zagreb | sleep | Hotel International | ,3-star hotel.
Zagreb | sleep | Hotel Jadran | ,3-star hotel. There is a big shopping center near-by - the Importanne Gallery.
Zagreb | sleep | Hotel Laguna | ,3-star hotel.
Zagreb | sleep | Hotel Phoenix | ,3-star hotel
"Zagreb | sleep | Palace Hotel | 1891, 1905, The Arts Pavilion",4-star hotel. It was built in the Secession style in 1891 and converted into a hotel in 1905. The Arts Pavilion is 50 metres away.
"Zagreb | sleep | Esplanade Zagreb | 1925, Orient Express, Paris, Istanbul, Zinfandel, Le Bistro","Built in 1925 for passengers of the famous Orient Express train, which connected Paris and Istanbul. If you can, check the Emerald Ballroom with its soaring dome shaped roof. The hotel also includes the Zinfandel's Restaurant, Le Bistro and the Esplanade 1925, the hotel's lounge and cocktail bar."
"Zagreb | sleep | Sheraton Zagreb Hotel | King Tomislav Restaurant, Fontana Restaurant, Piano Bar, Café Imperial, Grand Ballroom","Features air-conditioned rooms and suites with classic furniture and marbled bathrooms. It also includes King Tomislav Restaurant, Fontana Restaurant, Piano Bar, Café Imperial, 17 meeting rooms and an 800-square-meter Grand Ballroom."
"Zagreb | sleep | Westin Zagreb | 2004, Heavenly Bed, Heavenly Shower",The hotel was renovated in 2004. It features the legendary Heavenly Bed and Heavenly Shower and probably offers the best view in the city.
Zagreb | other | Albania | ,
Zagreb | other | Australia | ,
Zagreb | other | Austria | ,
Zagreb | other | Canada | ,
Zagreb | other | China | ,
Zagreb | other | Finland | ,
Zagreb | other | Germany | ,
Zagreb | other | Greece | ,
Zagreb | other | Japan | ,
Zagreb | other | Macedonia | ,
Zagreb | other | Norway | ,
Zagreb | other | South Korea | ,
Zagreb | other | Switzerland | ,
Zagreb | other | United Kingdom | ,
Zagreb | other | United States | ,
Krka National Park | other | Skradin | Lozovac as Skradin,Perhaps that's a better option than Lozovac as Skradin itself is a nice-looking town and a trip to the park will include a short journey by a ferry.
Krka National Park | other | Lozovac | Lozovac,'''NB:''' out of season there is no public transportation from Lozovac down to the park's waterfalls.
"Krka National Park | other | Lozovac | Skradinski, season, the ''Skradinski buk''",The main entrance for tourist groups and individuals traveling by car. In season the park provides a shuttle service from there down to the waterfalls at ''Skradinski buk''. Out of season cars are allowed to descend down up to the parking lot near the ''Skradinski buk''.
"Krka National Park | other | Roški slap | Krka, Trošenj","For a waterfall and tripper boats to ''Krka monastery'', and fortresses of ''Trošenj'' and ''Nečven''."
Krka National Park | other | Burnum | ,For the archeological site of ''Burnum''.
"Krka National Park | other | Kistanje | Krka Monastery'', Roški, Trošenj",For ''Krka Monastery'' and tripper boats to ''Roški slap'' waterfall and fortresses of ''Trošenj'' and ''Nečven''.
Krka National Park | other | Nacionalni park Krka | ,
"Krka National Park | other | Skradin ferry | Skradinski, every hour, 09:00 late autumn or, early spring, 18:00 in summer, past every hour, Skradinski, 1.5 hour, Skradin",Park's ferries run between town of ''Skradin'' and the pier at the {{marker|lat=43.807763|long=15.962443|name=Skradinski buk entrance }}. The boats run every hour from 08:00 (09:00 late autumn or early spring) till 18:00 in summer (finishing earlier other times). Returns are scheduled at 30 min. past every hour. The last departure from ''Skradinski buk'' is 1.5 hour later than the last boat from ''Skradin''.
Krka National Park | see | Skradinski buk | ,Considered the major attraction of the park. It is a pleasant cascade of lakes and waterfalls which is close to the both main entrances.
Krka National Park | see | Visovac | Franciscan,It's a beautiful island with a Franciscan monastery on it. The monastery is a place of pilgrimage.
Krka National Park | see | Roški slap | ,
Krka National Park | see | Oziđana pećina | ,
Krka National Park | see | Manastir Krka | ,
Krka National Park | see | Burnum archaeological site | Roman,Remains of Roman amphitheatre and some other excavations.
Krka National Park | see | Burnum - Manojlovac waterfalls | ,
Krka National Park | do | Swim | Skradinski,"In the lower lake at the Skradinski buk. Despite being officially designated swimming area it doesn't have anything arranged for that: no changing booths, nothing to safe go down, so be prepared. Otherwise that's apparently a wonderful experience. '''NB:''' Swimming only is allowed at this designated place."
"Krka National Park | do | Skradinski buk – Visovac island | 2 hours, 1/2 hour","2 hours, including 1/2 hour at Visovac"
"Krka National Park | do | Skradinski buk – Visovac island – Roški slap | 4 hours, 1/2 hour, 1 hour, Roški","4 hours, including 1/2 hour at Visovac, 1 hour sightseeing of Roški slap"
Krka National Park | do | Stinice – Visovac | Visovac,"35 min, Visovac (30 min)"
Krka National Park | do | Remetić– Visovac | Visovac,"35 min, Visovac (30 min)"
"Krka National Park | do | Roški slap - Krka monastery - Trošenj - Nečven | 2.5 hours, Krka, Trošenj, Nečven","2.5 hours, Krka monastery (30 min) and view from the boat of Trošenj and Nečven fortresses."
Krka National Park | eat | Buffet Kalikuša | ,"The location is very touristy. Quality of food and service is rather moderate, but the setting is magnificent: at the site of an old mill next to a small waterfall which used to feed the mill."
Krka National Park | eat | Buffet Stari mlin | ,
"Krka National Park | eat | ""Kristijan"" agrotourism | ",
"Roman Empire | other | Pula | Roman, 1st-century, Roman","Known for its many surviving ancient Roman buildings, the most famous of which is its 1st-century amphitheater, among the largest surviving Roman arenas in the world."
Austro-Hungarian Empire | other | Zagreb | Croatia,"Capital of Croatia, which was an autonomous kingdom within the Empire."
"Unije | see | Church of st Andrew | Church of st, Andrew, 17 century",Church of st. Andrew originate from 17 century and is dominant landmark of the village with nice white bell tower.
"Unije | do | Beach | altough name, Susak","altough name of the beach is ""pijesak"" (sand in Croatian language), it is actually pebble stone beach with sand inside the sea. Not so shallow as popular beach on Susak island, but very nice for families and others who enjoy easy access to sea. On other sides of the island there are plenty of rocky beaches with amazingly clear sea, also good for diving and snorkeling."
Unije | eat | Kod Barba Ive | ,"Very nice restauraunt with fair prices right next to ferry port with various choice of meat and fish dishes, but also very good offer of drinks and coffee. Possible payment by credit card. Very friendly staff."
Dugi Otok | other | Turistička Zajednica Dugi Otok | ,
Dugi Otok | other | Turistička Zajednica mjesta Božava | ,
"Dugi Otok | see | Strašna peć | Luka, 1904, Austro-Hungarian, Franz Joseph",A cave between Savar and Luka. In 1904 it was visited by Austro-Hungarian Emperor Franz Joseph.
Dugi Otok | see | Crkva Sv. Pelegrina | ,A pre-Romanesque church at an islet connected Savar.
"Dugi Otok | see | Svetište Male Gospe | Dumbovica, Dragove","a pilgrimage destination at the mount ''Dumbovica'', close to Dragove."
Dugi Otok | see | Saljsko Polje | 700 years old,over 700 years old olive groves. According to a local legend the trees were planted by the Greeks more than 2000 years ago.
Telašćica Nature Park | see | Belvedere Grpašćak | ,Even more of magnificent views.
Telašćica Nature Park | eat | Taverna Go-Ro | ,A restaurant at the bay of ''Magrovica''
Kornati National Park | other | Nacionalni park Kornati | ,
Kornati National Park | see | Krune | ,"A geological phenomenon: a rock, ""growing"" out of the sea. Reach up to 100 meters as in the underwater part, and in the freeboard. Hiking on the crowns is prohibited!"
Kornati National Park | see | Magazinova škrila | Kornat,"A flat limestone plateau on the island of Kornat, inclined at an angle of 40°."
